f	log10_fmin	log10_fmax	log10_A	spectrum
-10.0	-9.0	-8.0	-1.8571428571428572	-5.954219249744482
-10.0	-9.0	-8.0	-1.2857142857142858	-4.811362106887339
-10.0	-9.0	-8.0	-0.7142857142857144	-3.668504964030196
-10.0	-9.0	-8.0	-0.14285714285714324	-2.5256478211730538
-10.0	-9.0	-8.0	0.4285714285714284	-1.3827906783159105
-10.0	-9.0	-8.0	1.0	-0.23993353545876722
-10.0	-9.0	-7.0	-3.0	-8.238368354476217
-10.0	-9.0	-7.0	-2.428571428571429	-7.095511211619074
-10.0	-9.0	-7.0	-1.8571428571428572	-5.952654068761931
-10.0	-9.0	-7.0	-1.2857142857142858	-4.809796925904788
-10.0	-9.0	-7.0	-0.7142857142857144	-3.666939783047645
-10.0	-9.0	-7.0	-0.14285714285714324	-2.5240826401905028
-10.0	-9.0	-7.0	0.4285714285714284	-1.3812254973333598
-10.0	-9.0	-7.0	1.0	-0.23836835447621652
-10.0	-9.0	-6.0	-3.0	-8.238364912165139
-10.0	-9.0	-6.0	-2.428571428571429	-7.095507769307996
-10.0	-9.0	-6.0	-1.8571428571428572	-5.952650626450853
-10.0	-9.0	-6.0	-1.2857142857142858	-4.80979348359371
-10.0	-9.0	-6.0	-0.7142857142857144	-3.666936340736567
-10.0	-9.0	-6.0	-0.14285714285714324	-2.524079197879425
-10.0	-9.0	-6.0	0.4285714285714284	-1.3812220550222816
-10.0	-9.0	-6.0	1.0	-0.23836491216513833
-10.0	-9.0	-5.0	-3.0	-8.238364874217204
-10.0	-9.0	-5.0	-2.428571428571429	-7.095507731360061
-10.0	-9.0	-5.0	-1.8571428571428572	-5.952650588502918
-10.0	-9.0	-5.0	-1.2857142857142858	-4.809793445645775
-10.0	-9.0	-5.0	-0.7142857142857144	-3.666936302788632
-10.0	-9.0	-5.0	-0.14285714285714324	-2.5240791599314902
-10.0	-9.0	-5.0	0.4285714285714284	-1.3812220170743468
-10.0	-9.0	-5.0	1.0	-0.23836487421720348
-10.0	-8.0	-11.0	-3.0	-300
-10.0	-8.0	-11.0	-2.428571428571429	-300
-10.0	-8.0	-11.0	-1.8571428571428572	-300
-10.0	-8.0	-11.0	-1.2857142857142858	-300
-10.0	-8.0	-11.0	-0.7142857142857144	-300
-10.0	-8.0	-11.0	-0.14285714285714324	-300
-10.0	-8.0	-11.0	0.4285714285714284	-300
-10.0	-8.0	-11.0	1.0	-300
-10.0	-8.0	-10.0	-3.0	-300
-10.0	-8.0	-10.0	-2.428571428571429	-300
-10.0	-8.0	-10.0	-1.8571428571428572	-300
-10.0	-8.0	-10.0	-1.2857142857142858	-300
-10.0	-8.0	-10.0	-0.7142857142857144	-300
-10.0	-8.0	-10.0	-0.14285714285714324	-300
-10.0	-8.0	-10.0	0.4285714285714284	-300
-10.0	-8.0	-10.0	1.0	-300
-10.0	-8.0	-9.0	-3.0	-300
-10.0	-8.0	-9.0	-2.428571428571429	-300
-10.0	-8.0	-9.0	-1.8571428571428572	-300
-10.0	-8.0	-9.0	-1.2857142857142858	-300
-10.0	-8.0	-9.0	-0.7142857142857144	-300
-10.0	-8.0	-9.0	-0.14285714285714324	-300
-10.0	-8.0	-9.0	0.4285714285714284	-300
-10.0	-8.0	-9.0	1.0	-300
-10.0	-8.0	-8.0	-3.0	-300
-10.0	-8.0	-8.0	-2.428571428571429	-300
-10.0	-8.0	-8.0	-1.8571428571428572	-300
-10.0	-8.0	-8.0	-1.2857142857142858	-300
-10.0	-8.0	-8.0	-0.7142857142857144	-300
-10.0	-8.0	-8.0	-0.14285714285714324	-300
-10.0	-8.0	-8.0	0.4285714285714284	-300
-10.0	-8.0	-8.0	1.0	-300
-10.0	-8.0	-7.0	-3.0	-10.685923333769894
-10.0	-8.0	-7.0	-2.428571428571429	-9.543066190912752
-10.0	-8.0	-7.0	-1.8571428571428572	-8.40020904805561
-10.0	-8.0	-7.0	-1.2857142857142858	-7.257351905198466
-10.0	-8.0	-7.0	-0.7142857142857144	-6.114494762341324
-10.0	-8.0	-7.0	-0.14285714285714324	-4.971637619484182
-10.0	-8.0	-7.0	0.4285714285714284	-3.828780476627038
-10.0	-8.0	-7.0	1.0	-2.6859233337698947
-10.0	-8.0	-6.0	-3.0	-10.684903262419454
-10.0	-8.0	-6.0	-2.428571428571429	-9.542046119562311
-10.0	-8.0	-6.0	-1.8571428571428572	-8.399188976705167
-10.0	-8.0	-6.0	-1.2857142857142858	-7.256331833848025
-10.0	-8.0	-6.0	-0.7142857142857144	-6.1134746909908815
-10.0	-8.0	-6.0	-0.14285714285714324	-4.970617548133739
-10.0	-8.0	-6.0	0.4285714285714284	-3.827760405276596
-10.0	-8.0	-6.0	1.0	-2.6849032624194527
-10.0	-8.0	-5.0	-3.0	-10.684902642752478
-10.0	-8.0	-5.0	-2.428571428571429	-9.542045499895336
-10.0	-8.0	-5.0	-1.8571428571428572	-8.399188357038193
-10.0	-8.0	-5.0	-1.2857142857142858	-7.25633121418105
-10.0	-8.0	-5.0	-0.7142857142857144	-6.113474071323908
-10.0	-8.0	-5.0	-0.14285714285714324	-4.970616928466765
-10.0	-8.0	-5.0	0.4285714285714284	-3.8277597856096217
-10.0	-8.0	-5.0	1.0	-2.6849026427524785
-10.0	-7.0	-11.0	-3.0	-300
-10.0	-7.0	-11.0	-2.428571428571429	-300
-10.0	-7.0	-11.0	-1.8571428571428572	-300
-10.0	-7.0	-11.0	-1.2857142857142858	-300
-10.0	-7.0	-11.0	-0.7142857142857144	-300
-10.0	-7.0	-11.0	-0.14285714285714324	-300
-10.0	-7.0	-11.0	0.4285714285714284	-300
-10.0	-7.0	-11.0	1.0	-300
-10.0	-7.0	-10.0	-3.0	-300
-10.0	-7.0	-10.0	-2.428571428571429	-300
-10.0	-7.0	-10.0	-1.8571428571428572	-300
-10.0	-7.0	-10.0	-1.2857142857142858	-300
-10.0	-7.0	-10.0	-0.7142857142857144	-300
-10.0	-7.0	-10.0	-0.14285714285714324	-300
-10.0	-7.0	-10.0	0.4285714285714284	-300
-10.0	-7.0	-10.0	1.0	-300
-10.0	-7.0	-9.0	-3.0	-300
-10.0	-7.0	-9.0	-2.428571428571429	-300
-10.0	-7.0	-9.0	-1.8571428571428572	-300
-10.0	-7.0	-9.0	-1.2857142857142858	-300
-10.0	-7.0	-9.0	-0.7142857142857144	-300
-10.0	-7.0	-9.0	-0.14285714285714324	-300
-10.0	-7.0	-9.0	0.4285714285714284	-300
-10.0	-7.0	-9.0	1.0	-300
-10.0	-7.0	-8.0	-3.0	-300
-10.0	-7.0	-8.0	-2.428571428571429	-300
-10.0	-7.0	-8.0	-1.8571428571428572	-300
-10.0	-7.0	-8.0	-1.2857142857142858	-300
-10.0	-7.0	-8.0	-0.7142857142857144	-300
-10.0	-7.0	-8.0	-0.14285714285714324	-300
-10.0	-7.0	-8.0	0.4285714285714284	-300
-10.0	-7.0	-8.0	1.0	-300
-10.0	-7.0	-7.0	-3.0	-300
-10.0	-7.0	-7.0	-2.428571428571429	-300
-10.0	-7.0	-7.0	-1.8571428571428572	-300
-10.0	-7.0	-7.0	-1.2857142857142858	-300
-10.0	-7.0	-7.0	-0.7142857142857144	-300
-10.0	-7.0	-7.0	-0.14285714285714324	-300
-10.0	-7.0	-7.0	0.4285714285714284	-300
-10.0	-7.0	-7.0	1.0	-300
-10.0	-7.0	-6.0	-3.0	-300
-10.0	-7.0	-6.0	-2.428571428571429	-300
-10.0	-7.0	-6.0	-1.8571428571428572	-300
-10.0	-7.0	-6.0	-1.2857142857142858	-300
-10.0	-7.0	-6.0	-0.7142857142857144	-300
-10.0	-7.0	-6.0	-0.14285714285714324	-300
-10.0	-7.0	-6.0	0.4285714285714284	-300
-10.0	-7.0	-6.0	1.0	-300
-10.0	-7.0	-5.0	-3.0	-300
-10.0	-7.0	-5.0	-2.428571428571429	-300
-10.0	-7.0	-5.0	-1.8571428571428572	-300
-10.0	-7.0	-5.0	-1.2857142857142858	-300
-10.0	-7.0	-5.0	-0.7142857142857144	-300
-10.0	-7.0	-5.0	-0.14285714285714324	-300
-10.0	-7.0	-5.0	0.4285714285714284	-300
-10.0	-7.0	-5.0	1.0	-300
-10.0	-6.0	-11.0	-3.0	-300
-10.0	-6.0	-11.0	-2.428571428571429	-300
-10.0	-6.0	-11.0	-1.8571428571428572	-300
-10.0	-6.0	-11.0	-1.2857142857142858	-300
-10.0	-6.0	-11.0	-0.7142857142857144	-300
-10.0	-6.0	-11.0	-0.14285714285714324	-300
-10.0	-6.0	-11.0	0.4285714285714284	-300
-10.0	-6.0	-11.0	1.0	-300
-10.0	-6.0	-10.0	-3.0	-300
-10.0	-6.0	-10.0	-2.428571428571429	-300
-10.0	-6.0	-10.0	-1.8571428571428572	-300
-10.0	-6.0	-10.0	-1.2857142857142858	-300
-10.0	-6.0	-10.0	-0.7142857142857144	-300
-10.0	-6.0	-10.0	-0.14285714285714324	-300
-10.0	-6.0	-10.0	0.4285714285714284	-300
-10.0	-6.0	-10.0	1.0	-300
-10.0	-6.0	-9.0	-3.0	-300
-10.0	-6.0	-9.0	-2.428571428571429	-300
-10.0	-6.0	-9.0	-1.8571428571428572	-300
-10.0	-6.0	-9.0	-1.2857142857142858	-300
-10.0	-6.0	-9.0	-0.7142857142857144	-300
-10.0	-6.0	-9.0	-0.14285714285714324	-300
-10.0	-6.0	-9.0	0.4285714285714284	-300
-10.0	-6.0	-9.0	1.0	-300
-10.0	-6.0	-8.0	-3.0	-300
-10.0	-6.0	-8.0	-2.428571428571429	-300
-10.0	-6.0	-8.0	-1.8571428571428572	-300
-10.0	-6.0	-8.0	-1.2857142857142858	-300
-10.0	-6.0	-8.0	-0.7142857142857144	-300
-10.0	-6.0	-8.0	-0.14285714285714324	-300
-10.0	-6.0	-8.0	0.4285714285714284	-300
-10.0	-6.0	-8.0	1.0	-300
-10.0	-6.0	-7.0	-3.0	-300
-10.0	-6.0	-7.0	-2.428571428571429	-300
-10.0	-6.0	-7.0	-1.8571428571428572	-300
-10.0	-6.0	-7.0	-1.2857142857142858	-300
-10.0	-6.0	-7.0	-0.7142857142857144	-300
-10.0	-6.0	-7.0	-0.14285714285714324	-300
-10.0	-6.0	-7.0	0.4285714285714284	-300
-10.0	-6.0	-7.0	1.0	-300
-10.0	-6.0	-6.0	-3.0	-300
-10.0	-6.0	-6.0	-2.428571428571429	-300
-10.0	-6.0	-6.0	-1.8571428571428572	-300
-10.0	-6.0	-6.0	-1.2857142857142858	-300
-10.0	-6.0	-6.0	-0.7142857142857144	-300
-10.0	-6.0	-6.0	-0.14285714285714324	-300
-10.0	-6.0	-6.0	0.4285714285714284	-300
-10.0	-6.0	-6.0	1.0	-300
-10.0	-6.0	-5.0	-3.0	-300
-10.0	-6.0	-5.0	-2.428571428571429	-300
-10.0	-6.0	-5.0	-1.8571428571428572	-300
-10.0	-6.0	-5.0	-1.2857142857142858	-300
-10.0	-6.0	-5.0	-0.7142857142857144	-300
-10.0	-6.0	-5.0	-0.14285714285714324	-300
-10.0	-6.0	-5.0	0.4285714285714284	-300
-10.0	-6.0	-5.0	1.0	-300
-10.0	-5.0	-11.0	-3.0	-300
-10.0	-5.0	-11.0	-2.428571428571429	-300
-10.0	-5.0	-11.0	-1.8571428571428572	-300
-10.0	-5.0	-11.0	-1.2857142857142858	-300
-10.0	-5.0	-11.0	-0.7142857142857144	-300
-10.0	-5.0	-11.0	-0.14285714285714324	-300
-10.0	-5.0	-11.0	0.4285714285714284	-300
-10.0	-5.0	-11.0	1.0	-300
-10.0	-5.0	-10.0	-3.0	-300
-10.0	-5.0	-10.0	-2.428571428571429	-300
-10.0	-5.0	-10.0	-1.8571428571428572	-300
-10.0	-5.0	-10.0	-1.2857142857142858	-300
-10.0	-5.0	-10.0	-0.7142857142857144	-300
-10.0	-5.0	-10.0	-0.14285714285714324	-300
-10.0	-5.0	-10.0	0.4285714285714284	-300
-10.0	-5.0	-10.0	1.0	-300
-10.0	-5.0	-9.0	-3.0	-300
-10.0	-5.0	-9.0	-2.428571428571429	-300
-10.0	-5.0	-9.0	-1.8571428571428572	-300
-10.0	-5.0	-9.0	-1.2857142857142858	-300
-10.0	-5.0	-9.0	-0.7142857142857144	-300
-10.0	-5.0	-9.0	-0.14285714285714324	-300
-10.0	-5.0	-9.0	0.4285714285714284	-300
-10.0	-5.0	-9.0	1.0	-300
-10.0	-5.0	-8.0	-3.0	-300
-10.0	-5.0	-8.0	-2.428571428571429	-300
-10.0	-5.0	-8.0	-1.8571428571428572	-300
-10.0	-5.0	-8.0	-1.2857142857142858	-300
-10.0	-5.0	-8.0	-0.7142857142857144	-300
-10.0	-5.0	-8.0	-0.14285714285714324	-300
-10.0	-5.0	-8.0	0.4285714285714284	-300
-10.0	-5.0	-8.0	1.0	-300
-10.0	-5.0	-7.0	-3.0	-300
-10.0	-5.0	-7.0	-2.428571428571429	-300
-10.0	-5.0	-7.0	-1.8571428571428572	-300
-10.0	-5.0	-7.0	-1.2857142857142858	-300
-10.0	-5.0	-7.0	-0.7142857142857144	-300
-10.0	-5.0	-7.0	-0.14285714285714324	-300
-10.0	-5.0	-7.0	0.4285714285714284	-300
-10.0	-5.0	-7.0	1.0	-300
-10.0	-5.0	-6.0	-3.0	-300
-10.0	-5.0	-6.0	-2.428571428571429	-300
-10.0	-5.0	-6.0	-1.8571428571428572	-300
-10.0	-5.0	-6.0	-1.2857142857142858	-300
-10.0	-5.0	-6.0	-0.7142857142857144	-300
-10.0	-5.0	-6.0	-0.14285714285714324	-300
-10.0	-5.0	-6.0	0.4285714285714284	-300
-10.0	-5.0	-6.0	1.0	-300
-10.0	-5.0	-5.0	-3.0	-300
-10.0	-5.0	-5.0	-2.428571428571429	-300
-10.0	-5.0	-5.0	-1.8571428571428572	-300
-10.0	-5.0	-5.0	-1.2857142857142858	-300
-10.0	-5.0	-5.0	-0.7142857142857144	-300
-10.0	-5.0	-5.0	-0.14285714285714324	-300
-10.0	-5.0	-5.0	0.4285714285714284	-300
-10.0	-5.0	-5.0	1.0	-300
-9.918367346938776	-11.0	-11.0	-3.0	-300
-9.918367346938776	-11.0	-11.0	-2.428571428571429	-300
-9.918367346938776	-11.0	-11.0	-1.8571428571428572	-300
-9.918367346938776	-11.0	-11.0	-1.2857142857142858	-300
-9.918367346938776	-11.0	-11.0	-0.7142857142857144	-300
-9.918367346938776	-11.0	-11.0	-0.14285714285714324	-300
-9.918367346938776	-11.0	-11.0	0.4285714285714284	-300
-9.918367346938776	-11.0	-11.0	1.0	-300
-9.918367346938776	-11.0	-10.0	-3.0	-7.935565960353175
-9.918367346938776	-11.0	-10.0	-2.428571428571429	-6.792708817496033
-9.918367346938776	-11.0	-10.0	-1.8571428571428572	-5.64985167463889
-9.918367346938776	-11.0	-10.0	-1.2857142857142858	-4.506994531781747
-9.918367346938776	-11.0	-10.0	-0.7142857142857144	-3.364137388924604
-9.918367346938776	-11.0	-10.0	-0.14285714285714324	-2.2212802460674617
-9.918367346938776	-11.0	-10.0	0.4285714285714284	-1.0784231032103184
-9.918367346938776	-11.0	-10.0	1.0	0.06443403964682475
-9.918367346938776	-11.0	-9.0	-3.0	-6.090113129853457
-9.918367346938776	-11.0	-9.0	-2.428571428571429	-4.947255986996315
-9.918367346938776	-11.0	-9.0	-1.8571428571428572	-3.8043988441391714
-9.918367346938776	-11.0	-9.0	-1.2857142857142858	-2.6615417012820286
-9.918367346938776	-11.0	-9.0	-0.7142857142857144	-1.518684558424886
-9.918367346938776	-11.0	-9.0	-0.14285714285714324	-0.37582741556774363
-9.918367346938776	-11.0	-9.0	0.4285714285714284	0.7670297272893997
-9.918367346938776	-11.0	-9.0	1.0	1.9098868701465428
-9.918367346938776	-11.0	-8.0	-3.0	-6.08502183862606
-9.918367346938776	-11.0	-8.0	-2.428571428571429	-4.942164695768918
-9.918367346938776	-11.0	-8.0	-1.8571428571428572	-3.7993075529117744
-9.918367346938776	-11.0	-8.0	-1.2857142857142858	-2.6564504100546316
-9.918367346938776	-11.0	-8.0	-0.7142857142857144	-1.5135932671974888
-9.918367346938776	-11.0	-8.0	-0.14285714285714324	-0.3707361243403464
-9.918367346938776	-11.0	-8.0	0.4285714285714284	0.7721210185167968
-9.918367346938776	-11.0	-8.0	1.0	1.91497816137394
-9.918367346938776	-11.0	-7.0	-3.0	-6.085004035656507
-9.918367346938776	-11.0	-7.0	-2.428571428571429	-4.942146892799364
-9.918367346938776	-11.0	-7.0	-1.8571428571428572	-3.7992897499422207
-9.918367346938776	-11.0	-7.0	-1.2857142857142858	-2.656432607085078
-9.918367346938776	-11.0	-7.0	-0.7142857142857144	-1.513575464227935
-9.918367346938776	-11.0	-7.0	-0.14285714285714324	-0.37071832137079286
-9.918367346938776	-11.0	-7.0	0.4285714285714284	0.7721388214863504
-9.918367346938776	-11.0	-7.0	1.0	1.9149959643434937
-9.918367346938776	-11.0	-6.0	-3.0	-6.085003994543262
-9.918367346938776	-11.0	-6.0	-2.428571428571429	-4.94214685168612
-9.918367346938776	-11.0	-6.0	-1.8571428571428572	-3.7992897088289768
-9.918367346938776	-11.0	-6.0	-1.2857142857142858	-2.6564325659718335
-9.918367346938776	-11.0	-6.0	-0.7142857142857144	-1.513575423114691
-9.918367346938776	-11.0	-6.0	-0.14285714285714324	-0.37071828025754855
-9.918367346938776	-11.0	-6.0	0.4285714285714284	0.7721388625995946
-9.918367346938776	-11.0	-6.0	1.0	1.9149960054567379
-9.918367346938776	-11.0	-5.0	-3.0	-6.085003994331414
-9.918367346938776	-11.0	-5.0	-2.428571428571429	-4.942146851474272
-9.918367346938776	-11.0	-5.0	-1.8571428571428572	-3.799289708617129
-9.918367346938776	-11.0	-5.0	-1.2857142857142858	-2.656432565759986
-9.918367346938776	-11.0	-5.0	-0.7142857142857144	-1.5135754229028433
-9.918367346938776	-11.0	-5.0	-0.14285714285714324	-0.3707182800457009
-9.918367346938776	-11.0	-5.0	0.4285714285714284	0.7721388628114424
-9.918367346938776	-11.0	-5.0	1.0	1.9149960056685855
-9.918367346938776	-10.0	-11.0	-3.0	-300
-9.918367346938776	-10.0	-11.0	-2.428571428571429	-300
-9.918367346938776	-10.0	-11.0	-1.8571428571428572	-300
-9.918367346938776	-10.0	-11.0	-1.2857142857142858	-300
-9.918367346938776	-10.0	-11.0	-0.7142857142857144	-300
-9.918367346938776	-10.0	-11.0	-0.14285714285714324	-300
-9.918367346938776	-10.0	-11.0	0.4285714285714284	-300
-9.918367346938776	-10.0	-11.0	1.0	-300
-9.918367346938776	-10.0	-10.0	-3.0	-300
-9.918367346938776	-10.0	-10.0	-2.428571428571429	-300
-9.918367346938776	-10.0	-10.0	-1.8571428571428572	-300
-9.918367346938776	-10.0	-10.0	-1.2857142857142858	-300
-9.918367346938776	-10.0	-10.0	-0.7142857142857144	-300
-9.918367346938776	-10.0	-10.0	-0.14285714285714324	-300
-9.918367346938776	-10.0	-10.0	0.4285714285714284	-300
-9.918367346938776	-10.0	-10.0	1.0	-300
-9.918367346938776	-10.0	-9.0	-3.0	-6.499571289602218
-9.918367346938776	-10.0	-9.0	-2.428571428571429	-5.356714146745076
-9.918367346938776	-10.0	-9.0	-1.8571428571428572	-4.213857003887933
-9.918367346938776	-10.0	-9.0	-1.2857142857142858	-3.0709998610307894
