width	log10_fpeak	f	spectrum
0.1	-10.8	-9.1	-25.0
0.1	-10.8	-9.0	-25.0
0.1	-10.8	-8.9	-25.0
0.1	-10.8	-8.8	-25.0
0.1	-10.8	-8.7	-25.0
0.1	-10.8	-8.6	-25.0
0.1	-10.8	-8.5	-25.0
0.1	-10.8	-8.4	-25.0
0.1	-10.8	-8.3	-25.0
0.1	-10.8	-8.2	-25.0
0.1	-10.8	-8.1	-25.0
0.1	-10.8	-8.0	-25.0
0.1	-10.8	-7.9	-25.0
0.1	-10.8	-7.8	-25.0
0.1	-10.8	-7.7	-25.0
0.1	-10.8	-7.6	-25.0
0.1	-10.8	-7.5	-25.0
0.1	-10.8	-7.4	-25.0
0.1	-10.8	-7.3	-25.0
0.1	-10.8	-7.2	-25.0
0.1	-10.8	-7.1	-25.0
0.1	-10.8	-7.0	-25.0
0.1	-10.8	-6.9	-25.0
0.1	-10.8	-6.8	-25.0
0.1	-10.8	-6.7	-25.0
0.1	-10.8	-6.6	-25.0
0.1	-10.8	-6.5	-25.0
0.1	-10.8	-6.4	-25.0
0.1	-10.8	-6.3	-25.0
0.1	-10.8	-6.2	-25.0
0.1	-10.8	-6.1	-25.0
0.1	-10.8	-6.0	-25.0
0.1	-10.8	-5.9	-25.0
0.1	-10.8	-5.8	-25.0
0.1	-10.8	-5.7	-25.0
0.1	-10.8	-5.6	-25.0
0.1	-10.8	-5.5	-25.0
0.1	-10.8	-5.4	-25.0
0.1	-10.8	-5.3	-25.0
0.1	-10.8	-5.2	-25.0
0.1	-10.8	-5.1	-25.0
0.1	-10.8	-5.0	-25.0
0.1	-10.7	-11.0	-0.5478977996625899
0.1	-10.7	-10.9	-0.7938331785487622
0.1	-10.7	-10.8	-1.5707099599350671
0.1	-10.7	-10.7	-0.13795336856965892
0.1	-10.7	-10.6	-0.0769944965872408
0.1	-10.7	-10.5	-1.6260225503054202
0.1	-10.7	-10.4	-3.1368521000670926
0.1	-10.7	-10.3	-6.92141309679794
0.1	-10.7	-10.2	-14.50213427718089
0.1	-10.7	-10.1	-25.0
0.1	-10.7	-10.0	-25.0
0.1	-10.7	-9.9	-25.0
0.1	-10.7	-9.8	-25.0
0.1	-10.7	-9.7	-25.0
0.1	-10.7	-9.6	-25.0
0.1	-10.7	-9.5	-25.0
0.1	-10.7	-9.4	-25.0
0.1	-10.7	-9.3	-25.0
0.1	-10.7	-9.2	-25.0
0.1	-10.7	-9.1	-25.0
0.1	-10.7	-9.0	-25.0
0.1	-10.7	-8.9	-25.0
0.1	-10.7	-8.8	-25.0
0.1	-10.7	-8.7	-25.0
0.1	-10.7	-8.6	-25.0
0.1	-10.7	-8.5	-25.0
0.1	-10.7	-8.4	-25.0
0.1	-10.7	-8.3	-25.0
0.1	-10.7	-8.2	-25.0
0.1	-10.7	-8.1	-25.0
0.1	-10.7	-8.0	-25.0
0.1	-10.7	-7.9	-25.0
0.1	-10.7	-7.8	-25.0
0.1	-10.7	-7.7	-25.0
0.1	-10.7	-7.6	-25.0
0.1	-10.7	-7.5	-25.0
0.1	-10.7	-7.4	-25.0
0.1	-10.7	-7.3	-25.0
0.1	-10.7	-7.2	-25.0
0.1	-10.7	-7.1	-25.0
0.1	-10.7	-7.0	-25.0
0.1	-10.7	-6.9	-25.0
0.1	-10.7	-6.8	-25.0
0.1	-10.7	-6.7	-25.0
0.1	-10.7	-6.6	-25.0
0.1	-10.7	-6.5	-25.0
0.1	-10.7	-6.4	-25.0
0.1	-10.7	-6.3	-25.0
0.1	-10.7	-6.2	-25.0
0.1	-10.7	-6.1	-25.0
0.1	-10.7	-6.0	-25.0
0.1	-10.7	-5.9	-25.0
0.1	-10.7	-5.8	-25.0
0.1	-10.7	-5.7	-25.0
0.1	-10.7	-5.6	-25.0
0.1	-10.7	-5.5	-25.0
0.1	-10.7	-5.4	-25.0
0.1	-10.7	-5.3	-25.0
0.1	-10.7	-5.2	-25.0
0.1	-10.7	-5.1	-25.0
0.1	-10.7	-5.0	-25.0
0.1	-10.6	-11.0	-0.5107261116619642
0.1	-10.6	-10.9	-0.5478977996625899
0.1	-10.6	-10.8	-0.7938331785487622
0.1	-10.6	-10.7	-1.5707099599350773
0.1	-10.6	-10.6	-0.13795336856965892
0.1	-10.6	-10.5	-0.0769944965872408
0.1	-10.6	-10.4	-1.6260225503054202
0.1	-10.6	-10.3	-3.1368521000670926
0.1	-10.6	-10.2	-6.921413096798043
0.1	-10.6	-10.1	-14.50213427718089
0.1	-10.6	-10.0	-25.0
0.1	-10.6	-9.9	-25.0
0.1	-10.6	-9.8	-25.0
0.1	-10.6	-9.7	-25.0
0.1	-10.6	-9.6	-25.0
0.1	-10.6	-9.5	-25.0
0.1	-10.6	-9.4	-25.0
0.1	-10.6	-9.3	-25.0
0.1	-10.6	-9.2	-25.0
0.1	-10.6	-9.1	-25.0
0.1	-10.6	-9.0	-25.0
0.1	-10.6	-8.9	-25.0
0.1	-10.6	-8.8	-25.0
0.1	-10.6	-8.7	-25.0
0.1	-10.6	-8.6	-25.0
0.1	-10.6	-8.5	-25.0
0.1	-10.6	-8.4	-25.0
0.1	-10.6	-8.3	-25.0
0.1	-10.6	-8.2	-25.0
0.1	-10.6	-8.1	-25.0
0.1	-10.6	-8.0	-25.0
0.1	-10.6	-7.9	-25.0
0.1	-10.6	-7.8	-25.0
0.1	-10.6	-7.7	-25.0
0.1	-10.6	-7.6	-25.0
0.1	-10.6	-7.5	-25.0
0.1	-10.6	-7.4	-25.0
0.1	-10.6	-7.3	-25.0
0.1	-10.6	-7.2	-25.0
0.1	-10.6	-7.1	-25.0
0.1	-10.6	-7.0	-25.0
0.1	-10.6	-6.9	-25.0
0.1	-10.6	-6.8	-25.0
0.1	-10.6	-6.7	-25.0
0.1	-10.6	-6.6	-25.0
0.1	-10.6	-6.5	-25.0
0.1	-10.6	-6.4	-25.0
0.1	-10.6	-6.3	-25.0
0.1	-10.6	-6.2	-25.0
0.1	-10.6	-6.1	-25.0
0.1	-10.6	-6.0	-25.0
0.1	-10.6	-5.9	-25.0
0.1	-10.6	-5.8	-25.0
0.1	-10.6	-5.7	-25.0
0.1	-10.6	-5.6	-25.0
0.1	-10.6	-5.5	-25.0
0.1	-10.6	-5.4	-25.0
0.1	-10.6	-5.3	-25.0
0.1	-10.6	-5.2	-25.0
0.1	-10.6	-5.1	-25.0
0.1	-10.6	-5.0	-25.0
0.1	-10.5	-11.0	-0.5697002364917587
0.1	-10.5	-10.9	-0.5107261116619642
0.1	-10.5	-10.8	-0.5478977996625899
0.1	-10.5	-10.7	-0.7938331785487701
0.1	-10.5	-10.6	-1.5707099599350773
0.1	-10.5	-10.5	-0.13795336856965892
0.1	-10.5	-10.4	-0.0769944965872408
0.1	-10.5	-10.3	-1.6260225503054202
0.1	-10.5	-10.2	-3.136852100067134
0.1	-10.5	-10.1	-6.921413096798043
0.1	-10.5	-10.0	-14.50213427718089
0.1	-10.5	-9.9	-25.0
0.1	-10.5	-9.8	-25.0
0.1	-10.5	-9.7	-25.0
0.1	-10.5	-9.6	-25.0
0.1	-10.5	-9.5	-25.0
0.1	-10.5	-9.4	-25.0
0.1	-10.5	-9.3	-25.0
0.1	-10.5	-9.2	-25.0
0.1	-10.5	-9.1	-25.0
0.1	-10.5	-9.0	-25.0
0.1	-10.5	-8.9	-25.0
0.1	-10.5	-8.8	-25.0
0.1	-10.5	-8.7	-25.0
0.1	-10.5	-8.6	-25.0
0.1	-10.5	-8.5	-25.0
0.1	-10.5	-8.4	-25.0
0.1	-10.5	-8.3	-25.0
0.1	-10.5	-8.2	-25.0
0.1	-10.5	-8.1	-25.0
0.1	-10.5	-8.0	-25.0
0.1	-10.5	-7.9	-25.0
0.1	-10.5	-7.8	-25.0
0.1	-10.5	-7.7	-25.0
0.1	-10.5	-7.6	-25.0
0.1	-10.5	-7.5	-25.0
0.1	-10.5	-7.4	-25.0
0.1	-10.5	-7.3	-25.0
0.1	-10.5	-7.2	-25.0
0.1	-10.5	-7.1	-25.0
0.1	-10.5	-7.0	-25.0
0.1	-10.5	-6.9	-25.0
0.1	-10.5	-6.8	-25.0
0.1	-10.5	-6.7	-25.0
0.1	-10.5	-6.6	-25.0
0.1	-10.5	-6.5	-25.0
0.1	-10.5	-6.4	-25.0
0.1	-10.5	-6.3	-25.0
0.1	-10.5	-6.2	-25.0
0.1	-10.5	-6.1	-25.0
0.1	-10.5	-6.0	-25.0
0.1	-10.5	-5.9	-25.0
0.1	-10.5	-5.8	-25.0
0.1	-10.5	-5.7	-25.0
0.1	-10.5	-5.6	-25.0
0.1	-10.5	-5.5	-25.0
0.1	-10.5	-5.4	-25.0
0.1	-10.5	-5.3	-25.0
0.1	-10.5	-5.2	-25.0
0.1	-10.5	-5.1	-25.0
0.1	-10.5	-5.0	-25.0
0.1	-10.4	-11.0	-0.6852598303416366
0.1	-10.4	-10.9	-0.5697002364917587
0.1	-10.4	-10.8	-0.5107261116619642
0.1	-10.4	-10.7	-0.5478977996625918
0.1	-10.4	-10.6	-0.7938331785487701
0.1	-10.4	-10.5	-1.5707099599350773
0.1	-10.4	-10.4	-0.13795336856965892
0.1	-10.4	-10.3	-0.0769944965872408
0.1	-10.4	-10.2	-1.6260225503054835
0.1	-10.4	-10.1	-3.136852100067134
0.1	-10.4	-10.0	-6.921413096798043
0.1	-10.4	-9.9	-14.50213427718089
0.1	-10.4	-9.8	-25.0
0.1	-10.4	-9.7	-25.0
0.1	-10.4	-9.6	-25.0
0.1	-10.4	-9.5	-25.0
0.1	-10.4	-9.4	-25.0
0.1	-10.4	-9.3	-25.0
0.1	-10.4	-9.2	-25.0
0.1	-10.4	-9.1	-25.0
0.1	-10.4	-9.0	-25.0
0.1	-10.4	-8.9	-25.0
0.1	-10.4	-8.8	-25.0
0.1	-10.4	-8.7	-25.0
0.1	-10.4	-8.6	-25.0
0.1	-10.4	-8.5	-25.0
0.1	-10.4	-8.4	-25.0
0.1	-10.4	-8.3	-25.0
0.1	-10.4	-8.2	-25.0
0.1	-10.4	-8.1	-25.0
0.1	-10.4	-8.0	-25.0
0.1	-10.4	-7.9	-25.0
0.1	-10.4	-7.8	-25.0
0.1	-10.4	-7.7	-25.0
0.1	-10.4	-7.6	-25.0
0.1	-10.4	-7.5	-25.0
0.1	-10.4	-7.4	-25.0
0.1	-10.4	-7.3	-25.0
0.1	-10.4	-7.2	-25.0
0.1	-10.4	-7.1	-25.0
0.1	-10.4	-7.0	-25.0
0.1	-10.4	-6.9	-25.0
0.1	-10.4	-6.8	-25.0
0.1	-10.4	-6.7	-25.0
0.1	-10.4	-6.6	-25.0
0.1	-10.4	-6.5	-25.0
0.1	-10.4	-6.4	-25.0
0.1	-10.4	-6.3	-25.0
0.1	-10.4	-6.2	-25.0
0.1	-10.4	-6.1	-25.0
0.1	-10.4	-6.0	-25.0
0.1	-10.4	-5.9	-25.0
0.1	-10.4	-5.8	-25.0
0.1	-10.4	-5.7	-25.0
0.1	-10.4	-5.6	-25.0
0.1	-10.4	-5.5	-25.0
0.1	-10.4	-5.4	-25.0
0.1	-10.4	-5.3	-25.0
0.1	-10.4	-5.2	-25.0
0.1	-10.4	-5.1	-25.0
0.1	-10.4	-5.0	-25.0
0.1	-10.3	-11.0	-0.8379798422688214
0.1	-10.3	-10.9	-0.6852598303416366
0.1	-10.3	-10.8	-0.5697002364917587
0.1	-10.3	-10.7	-0.5107261116619639
0.1	-10.3	-10.6	-0.5478977996625918
0.1	-10.3	-10.5	-0.7938331785487701
0.1	-10.3	-10.4	-1.5707099599350773
0.1	-10.3	-10.3	-0.13795336856965892
0.1	-10.3	-10.2	-0.076994496569598
0.1	-10.3	-10.1	-1.6260225503054835
0.1	-10.3	-10.0	-3.136852100067134
0.1	-10.3	-9.9	-6.921413096798043
0.1	-10.3	-9.8	-14.50213427718089
0.1	-10.3	-9.7	-25.0
0.1	-10.3	-9.6	-25.0
0.1	-10.3	-9.5	-25.0
0.1	-10.3	-9.4	-25.0
0.1	-10.3	-9.3	-25.0
0.1	-10.3	-9.2	-25.0
0.1	-10.3	-9.1	-25.0
0.1	-10.3	-9.0	-25.0
0.1	-10.3	-8.9	-25.0
0.1	-10.3	-8.8	-25.0
0.1	-10.3	-8.7	-25.0
0.1	-10.3	-8.6	-25.0
0.1	-10.3	-8.5	-25.0
0.1	-10.3	-8.4	-25.0
0.1	-10.3	-8.3	-25.0
0.1	-10.3	-8.2	-25.0
0.1	-10.3	-8.1	-25.0
0.1	-10.3	-8.0	-25.0
0.1	-10.3	-7.9	-25.0
0.1	-10.3	-7.8	-25.0
0.1	-10.3	-7.7	-25.0
0.1	-10.3	-7.6	-25.0
0.1	-10.3	-7.5	-25.0
0.1	-10.3	-7.4	-25.0
0.1	-10.3	-7.3	-25.0
0.1	-10.3	-7.2	-25.0
0.1	-10.3	-7.1	-25.0
0.1	-10.3	-7.0	-25.0
0.1	-10.3	-6.9	-25.0
0.1	-10.3	-6.8	-25.0
0.1	-10.3	-6.7	-25.0
0.1	-10.3	-6.6	-25.0
0.1	-10.3	-6.5	-25.0
0.1	-10.3	-6.4	-25.0
0.1	-10.3	-6.3	-25.0
0.1	-10.3	-6.2	-25.0
