log10_A	width	log10_fpeak	f	spectrum
-3.1	2.5	-5.0	-7.0	-9.110634657690891
-1.7	0.5	-11.0	-10.0	-11.02786607097454
-1.7	0.5	-11.0	-9.0	-29.158961499306937
-1.7	0.5	-11.0	-8.0	-56.239785612745706
-1.7	0.5	-11.0	-7.0	-96.12873645293014
-1.7	0.5	-9.5	-10.0	-4.564292060290564
-1.7	0.5	-9.5	-9.0	-5.569463162449789
-1.7	0.5	-9.5	-8.0	-19.061121381350947
-1.7	0.5	-9.5	-7.0	-41.79666474725388
-1.7	0.5	-8.0	-10.0	-7.7491678648498645
-1.7	0.5	-8.0	-9.0	-5.392036690591879
-1.7	0.5	-8.0	-8.0	-3.9234050824737716
-1.7	0.5	-8.0	-7.0	-11.02786607097454
-1.7	0.5	-6.5	-10.0	-15.535654238374667
-1.7	0.5	-6.5	-9.0	-9.43208574232146
-1.7	0.5	-6.5	-8.0	-6.5231355153826
-1.7	0.5	-6.5	-7.0	-4.564292060290564
-1.7	0.5	-5.0	-10.0	-59.208145592844396
-1.7	0.5	-5.0	-9.0	-25.48798727355983
-1.7	0.5	-5.0	-8.0	-10.18848528498884
-1.7	0.5	-5.0	-7.0	-7.749167864849865
-1.7	1.0	-11.0	-10.0	-6.408756547281664
-1.7	1.0	-11.0	-9.0	-12.780181928201667
-1.7	1.0	-11.0	-8.0	-22.78403871266277
-1.7	1.0	-11.0	-7.0	-35.047436905123746
-1.7	1.0	-9.5	-10.0	-4.767113764933245
-1.7	1.0	-9.5	-9.0	-4.853963279063586
-1.7	1.0	-9.5	-8.0	-9.038938993620748
-1.7	1.0	-9.5	-7.0	-17.463145277618327
-1.7	1.0	-8.0	-10.0	-7.565798531100946
-1.7	1.0	-8.0	-9.0	-5.457091862019611
-1.7	1.0	-8.0	-8.0	-4.386450282042659
-1.7	1.0	-8.0	-7.0	-6.408756547281661
-1.7	1.0	-6.5	-10.0	-11.37163056528661
-1.7	1.0	-6.5	-9.0	-8.832147439713577
-1.7	1.0	-6.5	-8.0	-6.417107688720354
-1.7	1.0	-6.5	-7.0	-4.767113764933245
-1.7	1.0	-5.0	-10.0	-22.290653197830448
-1.7	1.0	-5.0	-9.0	-13.86059099959898
-1.7	1.0	-5.0	-8.0	-9.982725308422106
-1.7	1.0	-5.0	-7.0	-7.565798531100946
-1.7	1.5	-11.0	-10.0	-5.639716340337449
-1.7	1.5	-11.0	-9.0	-8.526176247575796
-1.7	1.5	-11.0	-8.0	-13.451630491107409
-1.7	1.5	-11.0	-7.0	-20.34271014418584
-1.7	1.5	-9.5	-10.0	-4.88419644598987
-1.7	1.5	-9.5	-9.0	-4.929039264621765
-1.7	1.5	-9.5	-8.0	-6.853330069850004
-1.7	1.5	-9.5	-7.0	-10.738917714765096
-1.7	1.5	-8.0	-10.0	-7.085311314430946
-1.7	1.5	-8.0	-9.0	-5.400812404165004
-1.7	1.5	-8.0	-8.0	-4.69324193423249
-1.7	1.5	-8.0	-7.0	-5.639716340337449
-1.7	1.5	-6.5	-10.0	-10.617736243234107
