# Frequencies [Hz],h_c [strain], S_eff [strain^2/Hz], Omega_GW [H0=67.4 km/s/Mpc]
2.110772206073046340e-09,9.674562175955086098e-15,4.434261216209218635e-20,5.750891283281111053e-10
2.160104749032508339e-09,9.518410618074788780e-15,4.194247558358357113e-20,5.829996301424777855e-10
2.210590282252040081e-09,9.370325573521587260e-15,3.971925600991210955e-20,5.917191958104527785e-10
2.262255753187843127e-09,9.229994514236703612e-15,3.765834106634086829e-20,6.012790499566134701e-10
2.315128739106612077e-09,9.097099297197619338e-15,3.574626940833048114e-20,6.117105157269635132e-10
2.369237461805364945e-09,8.971314811416292620e-15,3.397063010484730065e-20,6.230446327438755500e-10
2.424610802675305807e-09,8.852307810183240624e-15,3.231997212903835422e-20,6.353117223032489105e-10
2.481278318117659008e-09,8.739736017851694528e-15,3.078372349607264990e-20,6.485409076399117853e-10
2.539270255319946077e-09,8.633247617210956287e-15,2.935211967451158547e-20,6.627596035022528019e-10
2.598617568400834467e-09,8.532481239272664655e-15,2.801614096041936452e-20,6.779929973783018969e-10
2.659351934932420130e-09,8.437066590232128113e-15,2.676745853490058108e-20,6.942635544977863439e-10
2.721505772848666534e-09,8.346625858027946010e-15,2.559838891724248271e-20,7.115905899792677130e-10
2.785112257748929963e-09,8.260776040317148928e-15,2.450185646859106059e-20,7.299899636852939494e-10
2.850205340605993083e-09,8.179132323386855593e-15,2.347136348753321453e-20,7.494739655957402131e-10
2.916819765887972961e-09,8.101312613985931353e-15,2.250096726478652117e-20,7.700514704737377895e-10
2.984991090103664491e-09,8.026943280014177045e-15,2.158526323049330320e-20,7.917284484837470595e-10
3.054755700781425303e-09,7.955666089139120109e-15,2.071937304370607935e-20,8.145089210428085655e-10
3.126150835891635045e-09,7.887146246123977169e-15,1.989893615929922478e-20,8.383964461462754641e-10
3.199214603722982749e-09,7.821081321939489707e-15,1.912010309443041153e-20,8.633962024174718033e-10
3.273986003223404301e-09,7.757210745947946882e-15,1.837952834795434508e-20,8.895177144454450900e-10
3.350504944816434937e-09,7.695325405797080432e-15,1.767436075351036351e-20,9.167782229430721650e-10
3.428812271703937314e-09,7.635276781112817167e-15,1.700222902411328808e-20,9.452066528393858094e-10
3.508949781666919707e-09,7.576984942505811350e-15,1.636122041954301030e-20,9.748480735653139633e-10
3.590960249375668736e-09,7.520444693775257479e-15,1.574985086564674412e-20,1.005768483493045364e-09
3.674887449221450088e-09,7.465729137899360523e-15,1.516702547510341366e-20,1.038059691365786753e-09
3.760776178681833778e-09,7.412990017154012095e-15,1.461198922337517705e-20,1.071844018920439770e-09
3.848672282231952837e-09,7.362454317600952074e-15,1.408426844473374648e-20,1.107278517431685623e-09
3.938622675814843851e-09,7.314416831960739832e-15,1.358360472562964117e-20,1.144558381184164516e-09
4.030675371883470645e-09,7.269228627070099838e-15,1.310988356969153835e-20,1.183919254352205159e-09
4.124879505028177179e-09,7.227281640651878236e-15,1.266306078750460457e-20,1.225638162521914240e-09
4.221285358203109784e-09,7.188989913043361581e-15,1.224308986110304007e-20,1.270032851858454689e-09
4.319944389565443755e-09,7.154768222690518610e-15,1.184985354072381079e-20,1.317459383306641933e-09
4.420909259942039661e-09,7.125009128209711281e-15,1.148310270402095648e-20,1.368307904729057897e-09
4.524233860938053037e-09,7.100059624133858842e-15,1.114240514874791614e-20,1.422996614964663944e-09
4.629973343702332082e-09,7.080198800318921843e-15,1.082710662259492673e-20,1.481964052612581688e-09
4.738184148365264409e-09,7.065618066236892262e-15,1.053630612376203985e-20,1.545660008194081770e-09
4.848924034164661862e-09,7.056405661094669745e-15,1.026884737791254441e-20,1.614535593220489256e-09
4.962252110275531373e-09,7.052537295728218512e-15,1.002332836025047341e-20,1.689033319229931051e-09
5.078228867360694844e-09,7.053874804430983881e-15,9.798130619198836353e-21,1.769578439377144872e-09
5.196916209858505536e-09,7.060174526898499944e-15,9.591469698069963678e-21,1.856573242482371385e-09
5.318377489025382486e-09,7.071106665308307792e-15,9.401466814897039141e-21,1.950396368986426610e-09
5.442677536750618110e-09,7.086285942535449595e-15,9.226239864534598433e-21,2.051409384939933145e-09
5.569882700161278128e-09,7.105312450609988109e-15,9.064008658446521608e-21,2.159972604680416972e-09
5.700060877036211506e-09,7.127819670069454456e-15,8.913205375351338145e-21,2.276471298809402651e-09
5.833281552047414725e-09,7.153524489961807605e-15,8.772577180081806000e-21,2.401351848051464765e-09
5.969615833848643237e-09,7.182272100718723548e-15,8.641265026849375015e-21,2.535165170767089493e-09
6.109136493030864352e-09,7.214067460432453313e-15,8.518842128186090148e-21,2.678612177962948120e-09
6.251918000964569356e-09,7.249085258699196458e-15,8.405298514756990037e-21,2.832583659768794253e-09
6.398036569550122300e-09,7.287652345049845334e-15,8.300964854604593943e-21,2.998185593609218518e-09
6.547570191897155053e-09,7.330200498871287346e-15,8.206378515826815131e-21,3.176741065231007578e-09
6.700598683954473935e-09,7.377192779593599141e-15,8.122106079507702527e-21,3.369762276276290939e-09
6.857203727113167506e-09,7.429032696181323398e-15,8.048547045891247325e-21,3.578890642920932933e-09
7.017468911805430532e-09,7.485971028670631570e-15,7.985751407864564997e-21,3.805809645199836169e-09
7.181479782122125401e-09,7.548029190152343095e-15,7.933287620919319129e-21,4.052143437227727389e-09
7.349323881473376927e-09,7.614959341202596668e-15,7.890195983109052659e-21,4.319363313798182923e-09
7.521090799316352569e-09,7.686258765497680325e-15,7.855053925895964515e-21,4.608731952306191819e-09
7.696872218974851575e-09,7.761248044997261078e-15,7.826162303626861985e-21,4.921318398284030804e-09
7.876761966576978445e-09,7.839208808354167990e-15,7.801834688129267181e-21,5.258110296582758324e-09
8.060856061136118966e-09,7.919558650999560817e-15,7.780738019750985778e-21,5.620229822589616462e-09
8.249252765802696932e-09,8.002022693727528035e-15,7.762202105913973290e-21,6.009226353937617545e-09
8.442052640313807503e-09,8.086750596610333913e-15,7.746402207857674521e-21,6.427380249658241091e-09
8.639358594668330230e-09,8.174332646912384968e-15,7.734337392085400529e-21,6.877924417110334701e-09
8.841275944057060347e-09,8.265692776758240705e-15,7.727581122007385135e-21,7.365092286919694289e-09
9.047912465076118147e-09,8.361875943111941144e-15,7.727856514735411330e-21,7.893943332829424933e-09
9.259378453254518392e-09,8.463789680525653005e-15,7.736559869306751515e-21,8.469995503272325805e-09
9.475786781926288722e-09,8.571988167754065884e-15,7.754393681405576562e-21,9.098786391377867023e-09
9.697252962478177840e-09,8.686587388109434381e-15,7.781255242410275334e-21,9.785558540049544786e-09
9.923895206005797515e-09,8.807364569962985428e-15,7.816454029189590731e-21,1.053527970781981928e-08
1.015583448641080750e-08,8.934027234497171627e-15,7.859210657040295639e-21,1.135312858224523696e-08
1.039319460497239606e-08,9.066554459521939012e-15,7.909253400119076986e-21,1.224538520130647570e-08
1.063610225642839484e-08,9.205449837024320182e-15,7.967233170474133914e-21,1.322040693429212318e-08
1.088468709660054481e-08,9.351745382115170181e-15,8.034695064337309801e-21,1.428917085623710441e-08
1.113908181160027433e-08,9.506685672070509665e-15,8.113511867147949852e-21,1.546489018266861526e-08
1.139942218865215298e-08,9.671182679263863217e-15,8.204957485371668412e-21,1.676156764897150361e-08
1.166584718857242635e-08,9.845291412185047704e-15,8.308849020909055198e-21,1.819196036329705224e-08
1.193849901994148096e-08,1.002801996184708389e-14,8.423268635967647330e-21,1.976603770663450158e-08
1.221752321501008143e-08,1.021768685824016132e-14,8.545195527419962588e-21,2.149123172957908841e-08
1.250306870737942540e-08,1.041276733849862600e-14,8.671928962664173582e-21,2.337520070646845510e-08
1.279528791149684987e-08,1.061281363140488388e-14,8.802600922620204680e-21,2.543027076955406613e-08
1.309433680400948785e-08,1.081880672611468351e-14,8.938717609675707037e-21,2.767677755050391645e-08
1.340037500701918301e-08,1.103248416476698133e-14,9.083007511512096336e-21,3.014187841083240704e-08
1.371356587328347756e-08,1.125487024218999123e-14,9.236992430634988261e-21,3.285273741315442376e-08
1.403407657340767498e-08,1.148501637299628430e-14,9.398951216921011358e-21,3.582784648324349857e-08
1.436207818507471527e-08,1.172018489123890386e-14,9.564265847513216063e-21,3.907448680708027497e-08
1.469774578436077775e-08,1.195799952704326013e-14,9.728958085594335057e-21,4.259987359317442028e-08
1.504125853918481633e-08,1.219953096380312710e-14,9.894687691795852203e-21,4.643488812346672781e-08
1.539279980494230487e-08,1.245061581582702631e-14,1.007080168375535749e-20,5.065317711769482156e-08
1.575255722237412712e-08,1.271879959149292872e-14,1.026930807264701726e-20,5.535848089156963449e-08
1.612072281772269225e-08,1.300676906568787557e-14,1.049432109471837358e-20,6.063140944607965466e-08
1.649749310522916330e-08,1.330790892942805842e-14,1.073499100404630672e-20,6.647300852887614077e-08
1.688306919202599073e-08,1.361054616111359644e-14,1.097235133593468386e-20,7.281882888206770882e-08
1.727765688548090808e-08,1.391112659812575003e-14,1.120056061488891241e-20,7.966803030320564630e-08
1.768146680305012714e-08,1.422479376204789225e-14,1.144388979866146232e-20,8.724053509078164366e-08
1.809471448469858891e-08,1.457659106786576155e-14,1.174249018073540429e-20,9.594121051737048306e-08
1.851762050794789270e-08,1.497329401509170592e-14,1.210736193487457315e-20,1.060217205622434882e-07
1.895041060561309823e-08,1.538441502915808202e-14,1.248945105808316926e-20,1.172165696223542898e-07
1.939331578629104481e-08,1.576678726982839244e-14,1.281841555881587354e-20,1.289378244824260366e-07
1.984657245766509479e-08,1.612453615133982405e-14,1.310053242949001097e-20,1.412327034623918575e-07
2.031042255269138375e-08,1.652642103985736828e-14,1.344741064239690493e-20,1.553764975262161785e-07
2.078511365873426411e-08,1.702364582600423768e-14,1.394288825971613823e-20,1.726631825668192157e-07
2.127089914972022680e-08,1.755599822554505558e-14,1.448989398736324705e-20,1.923147245792821963e-07
2.176803832138015788e-08,1.800215306858206463e-14,1.488776849434134751e-20,2.117762581536494070e-07
2.227679652965236814e-08,1.836131621759164220e-14,1.513404015669998559e-20,2.307293699291097412e-07
2.279744533232105368e-08,1.877421781015261106e-14,1.546099789888895121e-20,2.526305419401826528e-07
2.333026263396392557e-08,1.928068701270521415e-14,1.593402086870285191e-20,2.790448737567765418e-07
2.387553283428871905e-08,1.972423604099579601e-14,1.629473528826095453e-20,3.058414268292875828e-07
2.443354697993586419e-08,2.005804906892691998e-14,1.646610427793632603e-20,3.312380332606306136e-07
2.500460291982912274e-08,2.049715660982013042e-14,1.680224358829227360e-20,3.622571340297207406e-07
2.558900546415747176e-08,2.108199458753627931e-14,1.736880694372632118e-20,4.013469738694117779e-07
2.618706654707224588e-08,2.155752121223125034e-14,1.774642150087472998e-20,4.395022792227597588e-07
2.679910539318674603e-08,2.213511233039361837e-14,1.828281917215449636e-20,4.852816141922627611e-07
2.742544868796802090e-08,2.359474368967454421e-14,2.029910015749988630e-20,5.774678291139808379e-07
2.806643075210969651e-08,2.616706648007129889e-14,2.439623955821323213e-20,7.438309276183485952e-07
2.872239371998154905e-08,2.947087156403292881e-14,3.023885401791932279e-20,9.881366451409398886e-07
2.939368772224895461e-08,3.558303251726024962e-14,4.307564995208179814e-20,1.508633859013329704e-06
3.008067107276050820e-08,5.427334014797538380e-14,9.792319605147423117e-20,3.675681949999285292e-06
3.078371045980411263e-08,1.411484409730254818e-13,6.471891169561900999e-19,2.603657691562311904e-05
3.150318114183249301e-08,2.426789340017538758e-12,1.869432319964176706e-16,8.060514464097518622e-03
3.223946714776311260e-08,3.741138293605673114e-13,4.341298715557049050e-18,2.006194424183405946e-04
3.299296148196041739e-08,8.232182844579783922e-14,2.054039144792979952e-19,1.017331283822867926e-05
3.376406633400725787e-08,4.582373597122648478e-14,6.219081426948084307e-20,3.301264040434281044e-06
3.455319329338069776e-08,3.704038191494988903e-14,3.970660195589438354e-20,2.259004389910416877e-06
3.536076356914417680e-08,3.386296872128120076e-14,3.242861677396244123e-20,1.977348011774574671e-06
3.618720821477433437e-08,3.187157030566671493e-14,2.807060958447553384e-20,1.834454166494032327e-06
3.703296835824308358e-08,3.201600991113945532e-14,2.767871267337989754e-20,1.938658186220566011e-06
3.789849543747647847e-08,3.299028846389503717e-14,2.871773985662676489e-20,2.155787490559020897e-06
3.878425144131662188e-08,3.405677550359756427e-14,2.990553935164640245e-20,2.406066709802869044e-06
3.969070915611607116e-08,3.555374073376438510e-14,3.184796913533988539e-20,2.746237562317043747e-06
4.061835241809478103e-08,3.655738213371224102e-14,3.290242240044430482e-20,3.040776969428095492e-06
4.156767637159510891e-08,3.765185506987167257e-14,3.410491790614901441e-20,3.378111940596323485e-06
4.253918773337384248e-08,3.846780011429091660e-14,3.478608136356338822e-20,3.692860235275792763e-06
4.353340506306919000e-08,3.938829822947191306e-14,3.563787475769856203e-20,4.054800528028379761e-06
4.455085903999113636e-08,4.042185808617345467e-14,3.667553547445740492e-20,4.472336730735010703e-06
4.559209274637965000e-08,4.127433873684024791e-14,3.736549334640287588e-20,4.883476326588592831e-06
4.665766195728317366e-08,4.228866606715561769e-14,3.832878037002116849e-20,5.368880042681203150e-06
4.774813543721294857e-08,4.341255508480361587e-14,3.947064993709239200e-20,5.925613384470429308e-06
4.886409524372984003e-08,4.461785810591091027e-14,4.074061439241832782e-20,6.555215046844705394e-06
5.000613703812643385e-08,4.595863227695275091e-14,4.223873320104192047e-20,7.284010923714855971e-06
5.117487040337179170e-08,4.708382467752603665e-14,4.331982726658638270e-20,8.006574600624697709e-06
5.237091916948465899e-08,4.883966935319112656e-14,4.554652353550641154e-20,9.022265573345561012e-06
5.359492174651379621e-08,5.080062381293031063e-14,4.815201320730969447e-20,1.022292457544995818e-05
5.484753146529905571e-08,5.215903511458349062e-14,4.960232250024963831e-20,1.128659790720850033e-05
5.612941692619678495e-08,5.372270141568077829e-14,5.141918098300023592e-20,1.253968222288457564e-05
5.744126235595657199e-08,5.529801589753832083e-14,5.323473817924031988e-20,1.391415487092452005e-05
5.878376797293781117e-08,5.752981094389339592e-14,5.630260293562309547e-20,1.577213617990792043e-05
6.015765036086192565e-08,6.062636593518535848e-14,6.109873348541369103e-20,1.834402304223877391e-05
6.156364285130161572e-08,6.717356791066742902e-14,7.329469175090646586e-20,2.358496502488408947e-05
6.300249591510656944e-08,8.632927822758938819e-14,1.182928417524731826e-19,4.079636918672025099e-05
6.447497756298055022e-08,8.215053338786634182e-14,1.046717717632186410e-19,3.868948583626460565e-05
6.598187375541886031e-08,7.365070240936913710e-14,8.221085059664530948e-20,3.256813269479857351e-05
6.752398882222680569e-08,7.154227505582356320e-14,7.579968555528119737e-20,3.218336536613131805e-05
6.910214589184438049e-08,7.240917183438135560e-14,7.587446233503682577e-20,3.452709284794510850e-05
7.071718733070367282e-08,7.360593457520254998e-14,7.661268510797666084e-20,3.736503593059501208e-05
7.236997519285486438e-08,7.702872642375316027e-14,8.198738052146269132e-20,4.285604269239863193e-05
7.406139168010283678e-08,7.952200794409656077e-14,8.538524059574053234e-20,4.783526628834264575e-05
7.579233961289447889e-08,8.169012050889126127e-14,8.804683722445556220e-20,5.286636912072920628e-05
7.756374291221440503e-08,8.415739342275097607e-14,9.131156648445306186e-20,5.876136174650056798e-05
7.937654709274332602e-08,8.721088663814062924e-14,9.581846309495038238e-20,6.608693239410753711e-05
8.123171976753960213e-08,8.997059968198777793e-14,9.964960523181199108e-20,7.366179706652560024e-05
8.313025116451976640e-08,9.319958214652440913e-14,1.044885825629988217e-19,8.278199710244019821e-05
8.507315465500785137e-08,9.582481835619445852e-14,1.079352922815016244e-19,9.164966207956839171e-05
8.706146729463785752e-08,9.826106786510662740e-14,1.109013867790137577e-19,1.009263825693845399e-04
8.909625037689978988e-08,1.020505458589623174e-13,1.168883523835961075e-19,1.140090434829954422e-04
9.117858999962138328e-08,1.056792855691712779e-13,1.224861165154761632e-19,1.280428301322804666e-04
9.330959764468937610e-08,1.091779350419117833e-13,1.277448601311626450e-19,1.431239023667778623e-04
9.549041077132263616e-08,1.131072238315893591e-13,1.339741234701157975e-19,1.608755307448490510e-04
9.772219342320653084e-08,1.187434982877931651e-13,1.442867570988714800e-19,1.856931465635379029e-04
1.000061368498218092e-07,1.229115700092333439e-13,1.510632698953372929e-19,2.083668462075789741e-04
1.023434601422922109e-07,1.261453484703485603e-13,1.554828116870552919e-19,2.298542071713910299e-04
1.047354108840931230e-07,1.285528741225101163e-13,1.577865719498296657e-19,2.500002523212878922e-04
1.071832658169703015e-07,1.333248842175726698e-13,1.658423506331970887e-19,2.816217451386505630e-04
1.096883315224205459e-07,1.382267833113604585e-13,1.741903022811533629e-19,3.170261217124658811e-04
1.122519451190993346e-07,1.435648038064216518e-13,1.836124342443084024e-19,3.581570446610341549e-04
1.148754749765317516e-07,1.482230747939515576e-13,1.912512649533043445e-19,3.998306290764605726e-04
1.175603214454982508e-07,1.538175261417292983e-13,2.012569467099528941e-19,4.509443584739752193e-04
1.203079176054966693e-07,1.579422101082681426e-13,2.073491273922988318e-19,4.979372596257814311e-04
1.231197300296703002e-07,1.642872805831666078e-13,2.192200271630532556e-19,5.642258435582496326e-04
1.259972595676138772e-07,1.698158356186478715e-13,2.288733749116552719e-19,6.313473405321506395e-04
1.289420421464774184e-07,1.776380929727761927e-13,2.447246185162636771e-19,7.235208924708800334e-04
1.319556495907909400e-07,1.898887093218701285e-13,2.732563709075334312e-19,8.658527623853265985e-04
1.350396904614499018e-07,1.897529532717756494e-13,2.666340773762321312e-19,9.055026779650213404e-04
1.381958109143129342e-07,1.950591903253303124e-13,2.753201235163691485e-19,1.002103029912763737e-03
1.414256955788599511e-07,2.006318211099658909e-13,2.846238618600672167e-19,1.110314626566497737e-03
1.447310684573930097e-07,2.075268944419554387e-13,2.975685343565401315e-19,1.244119491931670223e-03
1.481136938452488544e-07,2.153001574243132784e-13,3.129633498666606484e-19,1.402390317369317779e-03
1.515753772725186068e-07,2.220728391547759302e-13,3.253585561037181081e-19,1.562564629741218817e-03
